"hgnc_id"	"symbol"	"name"	"alias_symbol"	"prev_symbol"	"locus_group"
"HGNC:11109"	"SMARCE1"	"SWI/SNF related BAF chromatin remodeling complex subunit E1"	"BAF57"	""	"protein-coding gene"
"HGNC:39731"	"SMARCE1P1"	"SMARCE1 pseudogene 1"	""	""	"pseudogene"
"HGNC:39732"	"SMARCE1P2"	"SMARCE1 pseudogene 2"	""	""	"pseudogene"
"HGNC:39733"	"SMARCE1P3"	"SMARCE1 pseudogene 3"	""	""	"pseudogene"
"HGNC:39735"	"SMARCE1P4"	"SMARCE1 pseudogene 4"	""	""	"pseudogene"
"HGNC:39734"	"SMARCE1P5"	"SMARCE1 pseudogene 5"	""	""	"pseudogene"
"HGNC:39737"	"SMARCE1P6"	"SMARCE1 pseudogene 6"	""	""	"pseudogene"
"HGNC:51208"	"SMARCE1P7"	"SMARCE1 pseudogene 7"	""	""	"pseudogene"
"HGNC:53072"	"SMASR"	"SMAD3 associated long non-coding RNA"	""	"LINC02206"	"non-coding RNA"
"HGNC:53806"	"SMBD1P"	"somatomedin B domain containing 1, pseudogene"	""	""	"pseudogene"
"HGNC:11111"	"SMC1A"	"structural maintenance of chromosomes 1A"	"DXS423E|KIAA0178|SB1.8|Smcb"	"SMC1L1"	"protein-coding gene"
"HGNC:11112"	"SMC1B"	"structural maintenance of chromosomes 1B"	"bK268H5"	"SMC1L2"	"protein-coding gene"
"HGNC:14011"	"SMC2"	"structural maintenance of chromosomes 2"	"hCAP-E|CAP-E"	"SMC2L1"	"protein-coding gene"
"HGNC:50827"	"SMC2-DT"	"SMC2 divergent transcript"	""	"SMC2-AS1"	"non-coding RNA"
"HGNC:2468"	"SMC3"	"structural maintenance of chromosomes 3"	"HCAP|BAM|SMC3L1|bamacan"	"CSPG6"	"protein-coding gene"
"HGNC:54642"	"SMC3P1"	"SMC3 pseudogene 1"	""	""	"pseudogene"
"HGNC:14013"	"SMC4"	"structural maintenance of chromosomes 4"	"hCAP-C|CAP-C"	"SMC4L1"	"protein-coding gene"
"HGNC:51919"	"SMC4P1"	"structural maintenance of chromosomes 4 pseudogene 1"	""	""	"pseudogene"
"HGNC:20465"	"SMC5"	"structural maintenance of chromosomes 5"	"KIAA0594"	"SMC5L1"	"protein-coding gene"
"HGNC:20466"	"SMC6"	"structural maintenance of chromosomes 6"	"FLJ22116"	"SMC6L1"	"protein-coding gene"
"HGNC:29090"	"SMCHD1"	"structural maintenance of chromosomes flexible hinge domain containing 1"	"KIAA0650|FSHD2"	""	"protein-coding gene"
"HGNC:27407"	"SMCO1"	"single-pass membrane protein with coiled-coil domains 1"	"FLJ41923|DKFZp313B0440"	"C3orf43"	"protein-coding gene"
"HGNC:34448"	"SMCO2"	"single-pass membrane protein with coiled-coil domains 2"	"LOC341346"	"C12orf70"	"protein-coding gene"
"HGNC:34401"	"SMCO3"	"single-pass membrane protein with coiled-coil domains 3"	"LOC440087"	"C12orf69"	"protein-coding gene"
"HGNC:24810"	"SMCO4"	"single-pass membrane protein with coiled-coil domains 4"	"FN5"	"C11orf75"	"protein-coding gene"
"HGNC:49559"	"SMCO4P1"	"single-pass membrane protein with coiled-coil domains 4 pseudogene 1"	""	""	"pseudogene"
"HGNC:6962"	"SMCP"	"sperm mitochondria associated cysteine rich protein"	""	"MCSP"	"protein-coding gene"
"HGNC:17914"	"SMCR2"	"Smith-Magenis syndrome chromosome region, candidate 2"	""	""	"non-coding RNA"
"HGNC:17918"	"SMCR5"	"Smith-Magenis syndrome chromosome region, candidate 5"	"NCRNA00034"	""	"non-coding RNA"
"HGNC:17921"	"SMCR8"	"SMCR8-C9orf72 complex subunit"	"FLJ34716|DENND8A"	""	"protein-coding gene"
"HGNC:25055"	"SMDT1"	"single-pass membrane protein with aspartate rich tail 1"	"dJ186O1.1|DDDD|EMRE"	"C22orf32"	"protein-coding gene"
"HGNC:30045"	"SMG1"	"SMG1 nonsense mediated mRNA decay associated PI3K related kinase"	"LIP|KIAA0421|ATX"	""	"protein-coding gene"
